run_id,batch,task_id,repeat,trial_status,disk_write_success,test_success,clean_audit,unexpected_mutations,overall_success,latency_ms,prompt_eval_count,eval_count
"BASELINE_BATCH_A_M14_STALE_CONTENT_SAFETY_rep1","batch_a","M14_STALE_CONTENT_SAFETY",1,"VALID_FAIL",false,null,true,0,false,11975,7439,197
"BASELINE_BATCH_A_M14_STALE_CONTENT_SAFETY_rep2","batch_a","M14_STALE_CONTENT_SAFETY",2,"VALID_FAIL",false,null,true,0,false,11746,7439,197
"BASELINE_BATCH_A_M14_STALE_CONTENT_SAFETY_rep3","batch_a","M14_STALE_CONTENT_SAFETY",3,"VALID_FAIL",false,null,true,0,false,11668,7439,197
"BASELINE_BATCH_A_M14_STALE_CONTENT_SAFETY_rep4","batch_a","M14_STALE_CONTENT_SAFETY",4,"VALID_FAIL",false,null,true,0,false,11692,7439,197
"BASELINE_BATCH_A_M14_STALE_CONTENT_SAFETY_rep5","batch_a","M14_STALE_CONTENT_SAFETY",5,"VALID_FAIL",false,null,true,0,false,11691,7439,197
"BASELINE_BATCH_B_M1_EXACT_FILE_rep1","batch_b","M1_EXACT_FILE",1,"VALID_FAIL",false,false,true,0,false,11977,7527,197
"BASELINE_BATCH_B_M1_EXACT_FILE_rep2","batch_b","M1_EXACT_FILE",2,"VALID_FAIL",false,false,true,0,false,11727,7527,197
"BASELINE_BATCH_B_M1_EXACT_FILE_rep3","batch_b","M1_EXACT_FILE",3,"VALID_FAIL",false,false,true,0,false,11623,7527,197
"BASELINE_BATCH_B_M1_EXACT_FILE_rep4","batch_b","M1_EXACT_FILE",4,"VALID_FAIL",false,false,true,0,false,11630,7527,197
"BASELINE_BATCH_B_M1_EXACT_FILE_rep5","batch_b","M1_EXACT_FILE",5,"VALID_FAIL",false,false,true,0,false,11661,7527,197
"BASELINE_BATCH_B_M2_DISCOVER_FILE_rep1","batch_b","M2_DISCOVER_FILE",1,"VALID_FAIL",false,false,false,2,false,21931,13405,233
"BASELINE_BATCH_B_M2_DISCOVER_FILE_rep2","batch_b","M2_DISCOVER_FILE",2,"VALID_FAIL",false,false,false,2,false,21379,13418,232
"BASELINE_BATCH_B_M2_DISCOVER_FILE_rep3","batch_b","M2_DISCOVER_FILE",3,"VALID_FAIL",true,false,false,1,false,21592,12274,328
"BASELINE_BATCH_B_M2_DISCOVER_FILE_rep4","batch_b","M2_DISCOVER_FILE",4,"VALID_FAIL",false,false,false,2,false,21334,13418,232
"BASELINE_BATCH_B_M2_DISCOVER_FILE_rep5","batch_b","M2_DISCOVER_FILE",5,"VALID_FAIL",false,false,false,2,false,22082,13418,232
"BASELINE_BATCH_B_M3_NESTED_FILE_rep1","batch_b","M3_NESTED_FILE",1,"VALID_FAIL",false,false,true,0,false,12447,7608,204
"BASELINE_BATCH_B_M3_NESTED_FILE_rep2","batch_b","M3_NESTED_FILE",2,"VALID_FAIL",false,false,true,0,false,11991,7608,204
"BASELINE_BATCH_B_M3_NESTED_FILE_rep3","batch_b","M3_NESTED_FILE",3,"VALID_FAIL",false,false,true,0,false,11850,7608,204
"BASELINE_BATCH_B_M3_NESTED_FILE_rep4","batch_b","M3_NESTED_FILE",4,"VALID_FAIL",false,false,true,0,false,11800,7608,204
"BASELINE_BATCH_B_M3_NESTED_FILE_rep5","batch_b","M3_NESTED_FILE",5,"VALID_FAIL",false,false,true,0,false,11845,7608,204
"BASELINE_BATCH_B_M4_OVERWRITE_PROOF_rep1","batch_b","M4_OVERWRITE_PROOF",1,"VALID_FAIL",false,null,true,0,false,3527,584,87
"BASELINE_BATCH_B_M4_OVERWRITE_PROOF_rep2","batch_b","M4_OVERWRITE_PROOF",2,"VALID_FAIL",false,null,true,0,false,3376,584,87
