run_id,candidate,task_id,repeat,disk_write_success,test_success,clean_audit,unexpected_mutations,stale_write_blocked,overall_success,latency_ms
"EDIT_V2_A_BASELINE_M7_LINE_ENDINGS_rep10","A_BASELINE","M7_LINE_ENDINGS",10,false,null,true,0,false,false,38245
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep1","A_BASELINE","M8_DISTRACTOR_FILES",1,false,false,true,0,false,false,34689
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep2","A_BASELINE","M8_DISTRACTOR_FILES",2,false,false,true,0,false,false,37870
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep3","A_BASELINE","M8_DISTRACTOR_FILES",3,false,false,true,0,false,false,32391
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep4","A_BASELINE","M8_DISTRACTOR_FILES",4,false,false,true,0,false,false,38579
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep5","A_BASELINE","M8_DISTRACTOR_FILES",5,false,false,true,0,false,false,36738
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep6","A_BASELINE","M8_DISTRACTOR_FILES",6,false,false,true,0,false,false,33764
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep7","A_BASELINE","M8_DISTRACTOR_FILES",7,false,false,true,0,false,false,32406
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep8","A_BASELINE","M8_DISTRACTOR_FILES",8,false,false,true,0,false,false,29028
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep9","A_BASELINE","M8_DISTRACTOR_FILES",9,false,false,true,0,false,false,29005
"EDIT_V2_A_BASELINE_M8_DISTRACTOR_FILES_rep10","A_BASELINE","M8_DISTRACTOR_FILES",10,false,false,true,0,false,false,26366
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep1","A_BASELINE","M9_DISAMBIGUATION",1,true,true,true,0,false,true,28823
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep2","A_BASELINE","M9_DISAMBIGUATION",2,true,true,true,0,false,true,28311
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep3","A_BASELINE","M9_DISAMBIGUATION",3,true,true,true,0,false,true,28262
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep4","A_BASELINE","M9_DISAMBIGUATION",4,true,true,true,0,false,true,28579
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep5","A_BASELINE","M9_DISAMBIGUATION",5,true,true,true,0,false,true,28850
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep6","A_BASELINE","M9_DISAMBIGUATION",6,true,true,true,0,false,true,28520
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep7","A_BASELINE","M9_DISAMBIGUATION",7,true,true,true,0,false,true,38065
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep8","A_BASELINE","M9_DISAMBIGUATION",8,true,true,true,0,false,true,43640
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep9","A_BASELINE","M9_DISAMBIGUATION",9,true,true,true,0,false,true,47956
"EDIT_V2_A_BASELINE_M9_DISAMBIGUATION_rep10","A_BASELINE","M9_DISAMBIGUATION",10,true,true,true,0,false,true,43784
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep1","A_BASELINE","M10_RETRY_RECOVERY",1,true,true,true,0,false,true,58738
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep2","A_BASELINE","M10_RETRY_RECOVERY",2,true,true,true,0,false,true,48809
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep3","A_BASELINE","M10_RETRY_RECOVERY",3,true,true,true,0,false,true,39717
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep4","A_BASELINE","M10_RETRY_RECOVERY",4,false,false,true,0,false,false,51224
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep5","A_BASELINE","M10_RETRY_RECOVERY",5,false,false,true,0,false,false,46953
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep6","A_BASELINE","M10_RETRY_RECOVERY",6,false,false,true,0,false,false,51457
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep7","A_BASELINE","M10_RETRY_RECOVERY",7,false,false,true,0,false,false,48052
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep8","A_BASELINE","M10_RETRY_RECOVERY",8,true,true,true,0,false,true,35928
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep9","A_BASELINE","M10_RETRY_RECOVERY",9,false,false,true,0,false,false,44393
"EDIT_V2_A_BASELINE_M10_RETRY_RECOVERY_rep10","A_BASELINE","M10_RETRY_RECOVERY",10,true,true,true,0,false,true,44319
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep1","C1_OLD_LINE","M1_EXACT_FILE",1,true,false,false,1,false,false,67594
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep2","C1_OLD_LINE","M1_EXACT_FILE",2,true,false,false,1,false,false,71636
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep3","C1_OLD_LINE","M1_EXACT_FILE",3,true,false,false,1,false,false,57583
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep4","C1_OLD_LINE","M1_EXACT_FILE",4,true,false,false,1,false,false,55786
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep5","C1_OLD_LINE","M1_EXACT_FILE",5,true,false,false,1,false,false,64211
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep6","C1_OLD_LINE","M1_EXACT_FILE",6,true,false,false,1,false,false,64626
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep7","C1_OLD_LINE","M1_EXACT_FILE",7,true,false,false,1,false,false,70884
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep8","C1_OLD_LINE","M1_EXACT_FILE",8,true,false,false,1,false,false,63812
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep9","C1_OLD_LINE","M1_EXACT_FILE",9,true,false,false,1,false,false,72620
"EDIT_V2_C1_OLD_LINE_M1_EXACT_FILE_rep10","C1_OLD_LINE","M1_EXACT_FILE",10,true,false,false,1,false,false,79308
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep1","C1_OLD_LINE","M2_DISCOVER_FILE",1,false,false,true,0,false,false,8559
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep2","C1_OLD_LINE","M2_DISCOVER_FILE",2,false,false,true,0,false,false,25836
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep3","C1_OLD_LINE","M2_DISCOVER_FILE",3,false,false,true,0,false,false,7786
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep4","C1_OLD_LINE","M2_DISCOVER_FILE",4,false,false,true,0,false,false,5841
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep5","C1_OLD_LINE","M2_DISCOVER_FILE",5,false,false,true,0,false,false,10304
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep6","C1_OLD_LINE","M2_DISCOVER_FILE",6,false,false,true,0,false,false,6033
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep7","C1_OLD_LINE","M2_DISCOVER_FILE",7,false,false,true,0,false,false,7638
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep8","C1_OLD_LINE","M2_DISCOVER_FILE",8,false,false,true,0,false,false,6504
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep9","C1_OLD_LINE","M2_DISCOVER_FILE",9,false,false,true,0,false,false,8127
"EDIT_V2_C1_OLD_LINE_M2_DISCOVER_FILE_rep10","C1_OLD_LINE","M2_DISCOVER_FILE",10,false,false,true,0,false,false,10583
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep1","C1_OLD_LINE","M3_NESTED_FILE",1,true,false,true,0,false,false,46459
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep2","C1_OLD_LINE","M3_NESTED_FILE",2,true,false,true,0,false,false,43509
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep3","C1_OLD_LINE","M3_NESTED_FILE",3,true,false,true,0,false,false,56550
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep4","C1_OLD_LINE","M3_NESTED_FILE",4,true,false,true,0,false,false,39600
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep5","C1_OLD_LINE","M3_NESTED_FILE",5,true,false,true,0,false,false,46493
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep6","C1_OLD_LINE","M3_NESTED_FILE",6,true,false,true,0,false,false,47247
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep7","C1_OLD_LINE","M3_NESTED_FILE",7,true,false,true,0,false,false,44436
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep8","C1_OLD_LINE","M3_NESTED_FILE",8,true,false,true,0,false,false,39765
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep9","C1_OLD_LINE","M3_NESTED_FILE",9,true,false,true,0,false,false,42653
"EDIT_V2_C1_OLD_LINE_M3_NESTED_FILE_rep10","C1_OLD_LINE","M3_NESTED_FILE",10,true,false,true,0,false,false,41368
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep1","C1_OLD_LINE","M4_OVERWRITE_PROOF",1,true,null,false,1,false,false,51228
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep2","C1_OLD_LINE","M4_OVERWRITE_PROOF",2,true,null,false,1,false,false,49432
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep3","C1_OLD_LINE","M4_OVERWRITE_PROOF",3,true,null,false,1,false,false,51461
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep4","C1_OLD_LINE","M4_OVERWRITE_PROOF",4,true,null,false,1,false,false,44550
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep5","C1_OLD_LINE","M4_OVERWRITE_PROOF",5,true,null,false,1,false,false,51626
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep6","C1_OLD_LINE","M4_OVERWRITE_PROOF",6,true,null,false,1,false,false,50900
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep7","C1_OLD_LINE","M4_OVERWRITE_PROOF",7,true,null,false,1,false,false,58860
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep8","C1_OLD_LINE","M4_OVERWRITE_PROOF",8,true,null,false,1,false,false,57091
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep9","C1_OLD_LINE","M4_OVERWRITE_PROOF",9,true,null,false,1,false,false,55576
"EDIT_V2_C1_OLD_LINE_M4_OVERWRITE_PROOF_rep10","C1_OLD_LINE","M4_OVERWRITE_PROOF",10,true,null,false,1,false,false,49732
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep1","C1_OLD_LINE","M5_SMALL_PATCH",1,true,null,false,1,false,false,59791
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep2","C1_OLD_LINE","M5_SMALL_PATCH",2,true,null,false,1,false,false,52208
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep3","C1_OLD_LINE","M5_SMALL_PATCH",3,true,null,false,1,false,false,51001
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep4","C1_OLD_LINE","M5_SMALL_PATCH",4,true,null,false,1,false,false,52655
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep5","C1_OLD_LINE","M5_SMALL_PATCH",5,true,null,false,1,false,false,84292
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep6","C1_OLD_LINE","M5_SMALL_PATCH",6,true,null,false,1,false,false,83858
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep7","C1_OLD_LINE","M5_SMALL_PATCH",7,true,null,false,1,false,false,56519
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep8","C1_OLD_LINE","M5_SMALL_PATCH",8,true,null,false,1,false,false,166533
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep9","C1_OLD_LINE","M5_SMALL_PATCH",9,false,null,true,0,false,false,126233
"EDIT_V2_C1_OLD_LINE_M5_SMALL_PATCH_rep10","C1_OLD_LINE","M5_SMALL_PATCH",10,true,null,false,1,false,false,167223
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep1","C1_OLD_LINE","M6_PRESERVE_SENTINELS",1,false,null,true,0,false,false,124859
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep2","C1_OLD_LINE","M6_PRESERVE_SENTINELS",2,true,null,false,1,false,false,68874
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep3","C1_OLD_LINE","M6_PRESERVE_SENTINELS",3,true,null,false,1,false,false,169197
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep4","C1_OLD_LINE","M6_PRESERVE_SENTINELS",4,true,null,false,1,false,false,57792
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep5","C1_OLD_LINE","M6_PRESERVE_SENTINELS",5,true,null,false,1,false,false,155588
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep6","C1_OLD_LINE","M6_PRESERVE_SENTINELS",6,true,null,false,1,false,false,55095
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep7","C1_OLD_LINE","M6_PRESERVE_SENTINELS",7,true,null,false,1,false,false,63476
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep8","C1_OLD_LINE","M6_PRESERVE_SENTINELS",8,true,null,false,1,false,false,60772
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep9","C1_OLD_LINE","M6_PRESERVE_SENTINELS",9,true,null,false,1,false,false,57530
"EDIT_V2_C1_OLD_LINE_M6_PRESERVE_SENTINELS_rep10","C1_OLD_LINE","M6_PRESERVE_SENTINELS",10,true,null,false,1,false,false,55502
